catalog_id,city,cache_file,daily_points,daily_sum_failures,monthly_sum_failures
prefecture-aksu-prefecture,阿克苏地区,prefecture-aksu-prefecture.json,365,0,0
prefecture-altay-prefecture,阿勒泰地区,prefecture-altay-prefecture_47.1002_88.4342.json,365,0,0
prefecture-alxa-league,阿拉善盟,prefecture-alxa-league.json,365,0,0
prefecture-ankang,安康市,prefecture-ankang.json,365,0,0
prefecture-anqing,安庆市,prefecture-anqing.json,365,0,0
prefecture-anshan,鞍山市,prefecture-anshan.json,365,0,0
prefecture-anshun,安顺市,prefecture-anshun.json,365,0,0
prefecture-anyang,安阳市,prefecture-anyang.json,365,0,0
prefecture-baicheng,白城市,prefecture-baicheng.json,365,0,0
prefecture-baise,百色市,prefecture-baise.json,365,0,0
prefecture-baiyin,白银市,prefecture-baiyin.json,365,0,0
prefecture-baoding,保定市,prefecture-baoding.json,365,0,0
prefecture-baoji,宝鸡市,prefecture-baoji.json,365,0,0
prefecture-baoshan,保山市,prefecture-baoshan.json,365,0,0
prefecture-baotou,包头市,prefecture-baotou.json,365,0,0
prefecture-bayannur,巴彦淖尔市,prefecture-bayannur.json,365,0,0
prefecture-bayingolin-mongol-autonomous-prefecture,巴音郭楞蒙古自治州,prefecture-bayingolin-mongol-autonomous-prefecture_39.4956_87.9791.json,365,0,0
prefecture-bazhong,巴中市,prefecture-bazhong.json,365,0,0
prefecture-beihai,北海市,prefecture-beihai.json,365,0,0
prefecture-beijing,北京市,prefecture-beijing.json,365,0,0
prefecture-bengbu,蚌埠市,prefecture-bengbu_32.9176_117.3826.json,365,0,0
prefecture-benxi,本溪市,prefecture-benxi.json,365,0,0
prefecture-bijie,毕节市,prefecture-bijie.json,365,0,0
prefecture-binzhou,滨州市,prefecture-binzhou.json,365,0,0
prefecture-bortala-mongol-autonomous-prefecture,博尔塔拉蒙古自治州,prefecture-bortala-mongol-autonomous-prefecture_44.9048_82.0630.json,365,0,0
prefecture-bozhou,亳州市,prefecture-bozhou.json,365,0,0
prefecture-cangzhou,沧州市,prefecture-cangzhou.json,365,0,0
prefecture-chamdo,昌都市,prefecture-chamdo_31.1435_97.1712.json,365,0,0
prefecture-changchun,长春市,prefecture-changchun.json,365,0,0
prefecture-changde,常德市,prefecture-changde.json,365,0,0
prefecture-changji-hui-autonomous-prefecture,昌吉回族自治州,prefecture-changji-hui-autonomous-prefecture_44.3478_86.6870.json,365,0,0
prefecture-changsha,长沙市,prefecture-changsha_28.1451_113.2384.json,365,0,0
prefecture-changzhi,长治市,prefecture-changzhi.json,365,0,0
prefecture-changzhou,常州市,prefecture-changzhou.json,365,0,0
prefecture-chaoyang,朝阳市,prefecture-chaoyang.json,365,0,0
prefecture-chaozhou,潮州市,prefecture-chaozhou.json,365,0,0
prefecture-chengde,承德市,prefecture-chengde.json,365,0,0
prefecture-chengdu,成都市,prefecture-chengdu.json,365,0,0
prefecture-chenzhou,郴州市,prefecture-chenzhou.json,365,0,0
prefecture-chifeng,赤峰市,prefecture-chifeng.json,365,0,0
prefecture-chizhou,池州市,prefecture-chizhou.json,365,0,0
prefecture-chongqing,重庆市,prefecture-chongqing.json,365,0,0
prefecture-chongzuo,崇左市,prefecture-chongzuo.json,365,0,0
prefecture-chuxiong-yi-autonomous-prefecture,楚雄彝族自治州,prefecture-chuxiong-yi-autonomous-prefecture.json,365,0,0
prefecture-chuzhou,滁州市,prefecture-chuzhou.json,365,0,0
prefecture-city-jilin-2,松原市,prefecture-city-jilin-2_45.1387_124.8171.json,365,0,0
prefecture-city-jilin,白山市,prefecture-city-jilin_41.9369_126.4184.json,365,0,0
prefecture-dali-bai-autonomous-prefecture,大理白族自治州,prefecture-dali-bai-autonomous-prefecture.json,365,0,0
prefecture-dalian,大连市,prefecture-dalian.json,365,0,0
prefecture-dandong,丹东市,prefecture-dandong.json,365,0,0
prefecture-danzhou,儋州市,prefecture-danzhou.json,365,0,0
prefecture-daqing,大庆市,prefecture-daqing.json,365,0,0
prefecture-datong,大同市,prefecture-datong.json,365,0,0
prefecture-daxinganling-prefecture,大兴安岭地区,prefecture-daxinganling-prefecture_52.3414_124.5619.json,365,0,0
prefecture-dazhou,达州市,prefecture-dazhou.json,365,0,0
prefecture-dehong-dai-and-jingpo-autonomous-prefecture,德宏傣族景颇族自治州,prefecture-dehong-dai-and-jingpo-autonomous-prefecture.json,365,0,0
prefecture-deyang,德阳市,prefecture-deyang.json,365,0,0
prefecture-dezhou,德州市,prefecture-dezhou.json,365,0,0
prefecture-dingxi,定西市,prefecture-dingxi.json,365,0,0
prefecture-diqing-tibetan-autonomous-prefecture,迪庆藏族自治州,prefecture-diqing-tibetan-autonomous-prefecture.json,365,0,0
prefecture-dongguan,东莞市,prefecture-dongguan.json,365,0,0
prefecture-dongying,东营市,prefecture-dongying.json,365,0,0
prefecture-enshi-tujia-and-miao-autonomous-prefecture,恩施土家族苗族自治州,prefecture-enshi-tujia-and-miao-autonomous-prefecture.json,365,0,0
prefecture-ezhou,鄂州市,prefecture-ezhou_30.3925_114.8899.json,365,0,0
prefecture-fangchenggang,防城港市,prefecture-fangchenggang.json,365,0,0
prefecture-foshan,佛山市,prefecture-foshan.json,365,0,0
prefecture-fushun,抚顺市,prefecture-fushun.json,365,0,0
prefecture-fuxin,阜新市,prefecture-fuxin.json,365,0,0
prefecture-fuyang,阜阳市,prefecture-fuyang.json,365,0,0
