index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
1,河北省,Hebei,石家庄市,石家庄,地级市,130100,石家庄,石家庄市,,38.044,114.5139,city-hebei,prefecture-city-hebei,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,province_capital_fallback
2,河北省,Hebei,唐山市,唐山,地级市,130200,Tangshan,唐山市,Tangshan,39.631,118.179,tangshan,prefecture-tangshan,545340,CHN_HE_Tangshan.545340_TMYx.2011-2025.zip,Tangshan,39.5816,118.0931,direct
3,河北省,Hebei,秦皇岛市,秦皇岛,地级市,130300,Qinhuangdao,秦皇岛市,Qinhuangdao,39.936,119.6,qinhuangdao,prefecture-qinhuangdao,545270,CHN_TJ_Tianjin.545270_TMYx.2011-2025.zip,Tianjin,39.0812,117.0525,city_alias_fallback
4,河北省,Hebei,邯郸市,邯郸,地级市,130400,Handan,邯郸市,Handan,36.6258,114.5388,handan,prefecture-handan,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,province_capital_fallback
5,河北省,Hebei,邢台市,邢台,地级市,130500,邢台,邢台市,,37.07,114.505,city-hebei-2,prefecture-city-hebei-2,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,province_capital_fallback
6,河北省,Hebei,保定市,保定,地级市,130600,保定,保定市,,38.8745,115.4645,city-hebei-3,prefecture-city-hebei-3,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,province_capital_fallback
7,河北省,Hebei,张家口市,张家口,地级市,130700,Zhangjiakou,张家口市,Zhangjiakou,40.7675,114.8858,zhangjiakou,prefecture-zhangjiakou,544010,CHN_HE_Zhangjiakou.544010_TMYx.2011-2025.zip,Zhangjiakou,40.7694,114.9194,direct
8,河北省,Hebei,承德市,承德,地级市,130800,承德,承德市,,40.953,117.963,city-hebei-4,prefecture-city-hebei-4,545110,CHN_BJ_Beijing.545110_CSWD.zip,Beijing-Capital.Intl.AP,40.08,116.585,city_alias_fallback
9,河北省,Hebei,沧州市,沧州,地级市,130900,沧州,沧州市,,38.3045,116.8386,city-hebei-5,prefecture-city-hebei-5,545270,CHN_TJ_Tianjin.545270_TMYx.2011-2025.zip,Tianjin,39.0812,117.0525,city_alias_fallback
10,河北省,Hebei,廊坊市,廊坊,地级市,131000,廊坊,廊坊市,,39.538,116.684,city-hebei-6,prefecture-city-hebei-6,545110,CHN_BJ_Beijing.545110_CSWD.zip,Beijing-Capital.Intl.AP,40.08,116.585,city_alias_fallback
