index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug
1,河北省,Hebei,石家庄市,石家庄,地级市,130100,Shijiazhuang,石家庄市,Shijiazhuang,38.044,114.5139,shijiazhuang
2,河北省,Hebei,唐山市,唐山,地级市,130200,Tangshan,唐山市,Tangshan,39.631,118.179,tangshan
3,河北省,Hebei,秦皇岛市,秦皇岛,地级市,130300,Qinhuangdao,秦皇岛市,Qinhuangdao,39.936,119.6,qinhuangdao
4,河北省,Hebei,邯郸市,邯郸,地级市,130400,Handan,邯郸市,Handan,36.6258,114.5388,handan
5,河北省,Hebei,邢台市,邢台,地级市,130500,Xingtai,邢台市,Xingtai,37.07,114.505,xingtai
6,河北省,Hebei,保定市,保定,地级市,130600,Baoding,保定市,Baoding,38.8745,115.4645,baoding
7,河北省,Hebei,张家口市,张家口,地级市,130700,Zhangjiakou,张家口市,Zhangjiakou,40.7675,114.8858,zhangjiakou
8,河北省,Hebei,承德市,承德,地级市,130800,Chengde,承德市,Chengde,40.953,117.963,chengde
9,河北省,Hebei,沧州市,沧州,地级市,130900,Cangzhou,沧州市,Cangzhou,38.3045,116.8386,cangzhou
10,河北省,Hebei,廊坊市,廊坊,地级市,131000,Langfang,廊坊市,Langfang,39.538,116.684,langfang
11,河北省,Hebei,衡水市,衡水,地级市,131100,Hengshui,衡水市,Hengshui,37.739,115.67,hengshui
12,山西省,Shanxi,太原市,太原,地级市,140100,Taiyuan,太原市,Taiyuan,37.86666667,112.55,taiyuan
13,山西省,Shanxi,大同市,大同,地级市,140200,Datong,大同市,Datong,40.0763,113.2999,datong
14,山西省,Shanxi,阳泉市,阳泉,地级市,140300,Yangquan,阳泉市,Yangquan,37.8573,113.5804,yangquan
15,山西省,Shanxi,长治市,长治,地级市,140400,Changzhi,长治市,Changzhi,36.1953,113.1163,changzhi
16,山西省,Shanxi,晋城市,晋城,地级市,140500,Jincheng,晋城市,Jincheng,35.4895,112.8516,jincheng
17,山西省,Shanxi,朔州市,朔州,地级市,140600,Shuozhou,朔州市,Shuozhou,39.3308,112.432,shuozhou
18,山西省,Shanxi,晋中市,晋中,地级市,140700,Jinzhong,晋中市,Jinzhong,37.6874,112.7516,jinzhong
19,山西省,Shanxi,运城市,运城,地级市,140800,Yuncheng,运城市,Yuncheng,35.0264,111.0076,yuncheng
20,山西省,Shanxi,忻州市,忻州,地级市,140900,Xinzhou,忻州市,Xinzhou,38.4163,112.7341,xinzhou
21,山西省,Shanxi,临汾市,临汾,地级市,141000,Linfen,临汾市,Linfen,36.088,111.519,linfen
22,山西省,Shanxi,吕梁市,吕梁,地级市,141100,Lüliang,吕梁市,Lüliang,37.5184,111.144,luliang
23,内蒙古自治区,Inner Mongolia,呼和浩特市,呼和浩特,地级市,150100,Hohhot,呼和浩特市,Hohhot,40.8421,111.7503,hohhot
24,内蒙古自治区,Inner Mongolia,包头市,包头,地级市,150200,Baotou,包头市,Baotou,40.658,109.8402,baotou
25,内蒙古自治区,Inner Mongolia,乌海市,乌海,地级市,150300,Wuhai,乌海市,Wuhai,39.655,106.7942,wuhai
26,内蒙古自治区,Inner Mongolia,赤峰市,赤峰,地级市,150400,Chifeng,赤峰市,Chifeng,42.2579,118.887,chifeng
27,内蒙古自治区,Inner Mongolia,通辽市,通辽,地级市,150500,Tongliao,通辽市,Tongliao,43.6527,122.2436,tongliao
28,内蒙古自治区,Inner Mongolia,鄂尔多斯市,鄂尔多斯,地级市,150600,Ordos City,鄂尔多斯市,Ordos City,39.6082,109.7814,ordos-city
29,内蒙古自治区,Inner Mongolia,呼伦贝尔市,呼伦贝尔,地级市,150700,Hulunbuir,呼伦贝尔市,Hulunbuir,49.2118,119.7657,hulunbuir
30,内蒙古自治区,Inner Mongolia,巴彦淖尔市,巴彦淖尔,地级市,150800,Bayannur,巴彦淖尔市,Bayannur,40.7433,107.3876,bayannur
31,内蒙古自治区,Inner Mongolia,乌兰察布市,乌兰察布,地级市,150900,Ulanqab,乌兰察布市,Ulanqab,40.995,113.132,ulanqab
32,内蒙古自治区,Inner Mongolia,兴安盟,兴安,盟,152200,Hinggan League,兴安盟,Hinggan League,46.0824,122.0375,hinggan-league
33,内蒙古自治区,Inner Mongolia,锡林郭勒盟,锡林郭勒,盟,152500,Xilingol League,锡林郭勒盟,Xilingol League,43.9335,116.0477,xilingol-league
34,内蒙古自治区,Inner Mongolia,阿拉善盟,阿拉善,盟,152900,Alxa League,阿拉善盟,Alxa League,38.852,105.728,alxa-league
35,辽宁省,Liaoning,沈阳市,沈阳,地级市,210100,Shenyang,沈阳市,Shenyang,41.79555556,123.44805556,shenyang
36,辽宁省,Liaoning,大连市,大连,地级市,210200,Dalian,大连市,Dalian,38.92083333,121.63916667,dalian
37,辽宁省,Liaoning,鞍山市,鞍山,地级市,210300,Anshan,鞍山市,Anshan,41.1083,122.9933,anshan
38,辽宁省,Liaoning,抚顺市,抚顺,地级市,210400,Fushun,抚顺市,Fushun,41.8806,123.957,fushun
39,辽宁省,Liaoning,本溪市,本溪,地级市,210500,Benxi,本溪市,Benxi,41.2942,123.7655,benxi
40,辽宁省,Liaoning,丹东市,丹东,地级市,210600,Dandong,丹东市,Dandong,40.0005,124.3539,dandong
41,辽宁省,Liaoning,锦州市,锦州,地级市,210700,Jinzhou,锦州市,Jinzhou,41.0957,121.1264,jinzhou
42,辽宁省,Liaoning,营口市,营口,地级市,210800,Yingkou,营口市,Yingkou,40.6679,122.2344,yingkou
43,辽宁省,Liaoning,阜新市,阜新,地级市,210900,Fuxin,阜新市,Fuxin,42.0216,121.6696,fuxin
44,辽宁省,Liaoning,辽阳市,辽阳,地级市,211000,Liaoyang,辽阳市,Liaoyang,41.2673,123.237,liaoyang
45,辽宁省,Liaoning,盘锦市,盘锦,地级市,211100,Panjin,盘锦市,Panjin,41.12,122.0709,panjin
46,辽宁省,Liaoning,铁岭市,铁岭,地级市,211200,Tieling,铁岭市,Tieling,42.2238,123.7259,tieling
47,辽宁省,Liaoning,朝阳市,朝阳,地级市,211300,Chaoyang,朝阳市,"Chaoyang, Liaoning",41.5736,120.4494,chaoyang
48,辽宁省,Liaoning,葫芦岛市,葫芦岛,地级市,211400,Huludao,葫芦岛市,Huludao,40.711,120.837,huludao
49,吉林省,Jilin,长春市,长春,地级市,220100,Changchun,长春市,Changchun,43.88458056,125.31843056,changchun
50,吉林省,Jilin,吉林市,吉林,地级市,220200,Jilin City,吉林市,Jilin City,43.836,126.55,jilin-city
51,吉林省,Jilin,四平市,四平,地级市,220300,Siping,四平市,"Siping, Jilin",43.166,124.35,siping
52,吉林省,Jilin,辽源市,辽源,地级市,220400,Liaoyuan,辽源市,Liaoyuan,42.888,125.144,liaoyuan
53,吉林省,Jilin,通化市,通化,地级市,220500,Tonghua,通化市,Tonghua,41.728,125.94,tonghua
54,吉林省,Jilin,白山市,白山,地级市,220600,白山市,白山市,白山市,,,city-jilin
55,吉林省,Jilin,松原市,松原,地级市,220700,松原市,松原市,松原市,,,city-jilin-2
56,吉林省,Jilin,白城市,白城,地级市,220800,Baicheng,白城市,Baicheng,45.62,122.839,baicheng
57,吉林省,Jilin,延边朝鲜族自治州,延边朝鲜族,自治州,222400,Yanbian Korean Autonomous Prefecture,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,42.891,129.509,yanbian-korean-autonomous-prefecture
58,黑龙江省,Heilongjiang,哈尔滨市,哈尔滨,地级市,230100,Harbin,哈尔滨市,Harbin,45.80138889,126.52916667,harbin
59,黑龙江省,Heilongjiang,齐齐哈尔市,齐齐哈尔,地级市,230200,Qiqihar,齐齐哈尔市,Qiqihar,47.3536,123.9185,qiqihar
60,黑龙江省,Heilongjiang,鸡西市,鸡西,地级市,230300,Jixi,鸡西市,Jixi,45.2956,130.969,jixi
61,黑龙江省,Heilongjiang,鹤岗市,鹤岗,地级市,230400,Hegang,鹤岗市,Hegang,47.35,130.298,hegang
62,黑龙江省,Heilongjiang,双鸭山市,双鸭山,地级市,230500,Shuangyashan,双鸭山市,Shuangyashan,46.646,131.1586,shuangyashan
63,黑龙江省,Heilongjiang,大庆市,大庆,地级市,230600,Daqing,大庆市,Daqing,46.589,125.104,daqing
64,黑龙江省,Heilongjiang,伊春市,伊春,地级市,230700,Yichun,伊春市,"Yichun, Heilongjiang",47.7276,128.8406,yichun-heilongjiang
65,黑龙江省,Heilongjiang,佳木斯市,佳木斯,地级市,230800,Jiamusi,佳木斯市,Jiamusi,46.8,130.318,jiamusi
66,黑龙江省,Heilongjiang,七台河市,七台河,地级市,230900,Qitaihe,七台河市,Qitaihe,45.772,131.0017,qitaihe
67,黑龙江省,Heilongjiang,牡丹江市,牡丹江,地级市,231000,Mudanjiang,牡丹江市,Mudanjiang,44.552,129.633,mudanjiang
68,黑龙江省,Heilongjiang,黑河市,黑河,地级市,231100,Heihe,黑河市,Heihe,50.245,127.528,heihe
69,黑龙江省,Heilongjiang,绥化市,绥化,地级市,231200,Suihua,绥化市,Suihua,46.654,126.969,suihua
70,黑龙江省,Heilongjiang,大兴安岭地区,大兴安岭,地区,232700,Daxing'anling Prefecture,大兴安岭地区,Daxing'anling Prefecture,,,daxinganling-prefecture
71,江苏省,Jiangsu,南京市,南京,地级市,320100,Nanjing,南京市,Nanjing,32.04388889,118.77861111,nanjing
72,江苏省,Jiangsu,无锡市,无锡,地级市,320200,Wuxi,无锡市,Wuxi,31.49,120.313,wuxi
73,江苏省,Jiangsu,徐州市,徐州,地级市,320300,Xuzhou,徐州市,Xuzhou,34.205,117.283,xuzhou
74,江苏省,Jiangsu,常州市,常州,地级市,320400,Changzhou,常州市,Changzhou,31.81,119.976,changzhou
75,江苏省,Jiangsu,苏州市,苏州,地级市,320500,Suzhou,苏州市,Suzhou,31.3,120.61666667,suzhou-jiangsu
76,江苏省,Jiangsu,南通市,南通,地级市,320600,Nantong,南通市,Nantong,31.98,120.895,nantong
77,江苏省,Jiangsu,连云港市,连云港,地级市,320700,Lianyungang,连云港市,Lianyungang,34.597,119.222,lianyungang
78,江苏省,Jiangsu,淮安市,淮安,地级市,320800,Huai'an,淮安市,Huai'an,33.55,119.114,huaian
79,江苏省,Jiangsu,盐城市,盐城,地级市,320900,Yancheng,盐城市,Yancheng,33.347,120.164,yancheng
80,江苏省,Jiangsu,扬州市,扬州,地级市,321000,Yangzhou,扬州市,Yangzhou,32.393,119.415,yangzhou
81,江苏省,Jiangsu,镇江市,镇江,地级市,321100,Zhenjiang,镇江市,Zhenjiang,32.188,119.428,zhenjiang
82,江苏省,Jiangsu,泰州市,泰州,地级市,321200,Taizhou,泰州市,"Taizhou, Jiangsu",32.455,119.923,taizhou-jiangsu
83,江苏省,Jiangsu,宿迁市,宿迁,地级市,321300,Suqian,宿迁市,Suqian,33.9624,118.2757,suqian
84,浙江省,Zhejiang,杭州市,杭州,地级市,330100,Hangzhou,杭州市,Hangzhou,30.24916667,120.20527778,hangzhou
85,浙江省,Zhejiang,宁波市,宁波,地级市,330200,Ningbo,宁波市,Ningbo,29.86361111,121.62083333,ningbo
86,浙江省,Zhejiang,温州市,温州,地级市,330300,Wenzhou,温州市,Wenzhou,27.993,120.699,wenzhou
87,浙江省,Zhejiang,嘉兴市,嘉兴,地级市,330400,Jiaxing,嘉兴市,Jiaxing,30.754,120.759,jiaxing
88,浙江省,Zhejiang,湖州市,湖州,地级市,330500,Huzhou,湖州市,Huzhou,30.894,120.087,huzhou
89,浙江省,Zhejiang,绍兴市,绍兴,地级市,330600,Shaoxing,绍兴市,Shaoxing,29.995,120.586,shaoxing
90,浙江省,Zhejiang,金华市,金华,地级市,330700,Jinhua,金华市,Jinhua,29.0788,119.6475,jinhua
91,浙江省,Zhejiang,衢州市,衢州,地级市,330800,Quzhou,衢州市,Quzhou,28.97,118.86,quzhou
92,浙江省,Zhejiang,舟山市,舟山,地级市,330900,Zhoushan,舟山市,Zhoushan,29.9852,122.2077,zhoushan
93,浙江省,Zhejiang,台州市,台州,地级市,331000,Taizhou,台州市,"Taizhou, Zhejiang",28.6556,121.4216,taizhou-zhejiang
94,浙江省,Zhejiang,丽水市,丽水,地级市,331100,Lishui,丽水市,Lishui,28.467,119.923,lishui
95,安徽省,Anhui,合肥市,合肥,地级市,340100,Hefei,合肥市,Hefei,,,hefei
96,安徽省,Anhui,芜湖市,芜湖,地级市,340200,Wuhu,芜湖市,Wuhu,31.353,118.433,wuhu
97,安徽省,Anhui,蚌埠市,蚌埠,地级市,340300,Bengbu,蚌埠市,Bengbu,,,bengbu
98,安徽省,Anhui,淮南市,淮南,地级市,340400,Huainan,淮南市,Huainan,32.625,117.0,huainan
99,安徽省,Anhui,马鞍山市,马鞍山,地级市,340500,Ma'anshan,马鞍山市,Ma'anshan,31.67,118.506,maanshan
100,安徽省,Anhui,淮北市,淮北,地级市,340600,Huaibei,淮北市,Huaibei,33.9565,116.7977,huaibei
101,安徽省,Anhui,铜陵市,铜陵,地级市,340700,Tongling,铜陵市,Tongling,30.9455,117.8115,tongling
102,安徽省,Anhui,安庆市,安庆,地级市,340800,Anqing,安庆市,Anqing,30.532,117.115,anqing
103,安徽省,Anhui,黄山市,黄山,地级市,341000,Huangshan City,黄山市,Huangshan City,29.7148,118.3375,huangshan-city
104,安徽省,Anhui,滁州市,滁州,地级市,341100,Chuzhou,滁州市,Chuzhou,32.2535,118.3283,chuzhou
105,安徽省,Anhui,阜阳市,阜阳,地级市,341200,Fuyang,阜阳市,Fuyang,32.889,115.814,fuyang
106,安徽省,Anhui,宿州市,宿州,地级市,341300,Suzhou,宿州市,"Suzhou, Anhui",33.6464,116.9639,suzhou-anhui
107,安徽省,Anhui,六安市,六安,地级市,341500,Lu'an,六安市,Lu'an,31.7344,116.5214,luan
108,安徽省,Anhui,亳州市,亳州,地级市,341600,Bozhou,亳州市,Bozhou,33.845,115.778,bozhou
109,安徽省,Anhui,池州市,池州,地级市,341700,Chizhou,池州市,Chizhou,30.676533,117.494118,chizhou
110,安徽省,Anhui,宣城市,宣城,地级市,341800,Xuancheng,宣城市,Xuancheng,30.94,118.758,xuancheng
111,福建省,Fujian,福州市,福州,地级市,350100,Fuzhou,福州市,Fuzhou,26.15,119.28333333,fuzhou-fujian
112,福建省,Fujian,厦门市,厦门,地级市,350200,Xiamen,厦门市,Xiamen,,,xiamen
113,福建省,Fujian,莆田市,莆田,地级市,350300,Putian,莆田市,Putian,25.453,119.008,putian
114,福建省,Fujian,三明市,三明,地级市,350400,Sanming,三明市,Sanming,26.263,117.639,sanming
