index,province_zh,province_en,city_zh,city_short_zh,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug
1,河北省,Hebei,石家庄市,石家庄,Shijiazhuang,石家庄市,Shijiazhuang,38.044,114.5139,shijiazhuang
2,河北省,Hebei,唐山市,唐山,Tangshan,唐山市,Tangshan,39.631,118.179,tangshan
3,河北省,Hebei,秦皇岛市,秦皇岛,Qinhuangdao,秦皇岛市,Qinhuangdao,39.936,119.6,qinhuangdao
4,河北省,Hebei,邯郸市,邯郸,Handan,邯郸市,Handan,36.6258,114.5388,handan
5,河北省,Hebei,邢台市,邢台,Xingtai,邢台市,Xingtai,37.07,114.505,xingtai
6,河北省,Hebei,保定市,保定,Baoding,保定市,Baoding,38.8745,115.4645,baoding
7,河北省,Hebei,张家口市,张家口,Zhangjiakou,张家口市,Zhangjiakou,40.7675,114.8858,zhangjiakou
8,河北省,Hebei,承德市,承德,Chengde,承德市,Chengde,40.953,117.963,chengde
9,河北省,Hebei,沧州市,沧州,Cangzhou,沧州市,Cangzhou,38.3045,116.8386,cangzhou
10,河北省,Hebei,廊坊市,廊坊,Langfang,廊坊市,Langfang,39.538,116.684,langfang
11,河北省,Hebei,衡水市,衡水,衡水,衡水市,,,,city-hebei
12,山西省,Shanxi,太原市,太原,太原,太原市,,,,city-shanxi
13,山西省,Shanxi,大同市,大同,大同,大同市,,,,city-shanxi-2
14,山西省,Shanxi,阳泉市,阳泉,阳泉,阳泉市,,,,city-shanxi-3
15,山西省,Shanxi,长治市,长治,长治,长治市,,,,city-shanxi-4
16,山西省,Shanxi,晋城市,晋城,晋城,晋城市,,,,city-shanxi-5
17,山西省,Shanxi,朔州市,朔州,朔州,朔州市,,,,city-shanxi-6
18,山西省,Shanxi,晋中市,晋中,晋中,晋中市,,,,city-shanxi-7
19,山西省,Shanxi,运城市,运城,运城,运城市,,,,city-shanxi-8
20,山西省,Shanxi,忻州市,忻州,忻州,忻州市,,,,city-shanxi-9
21,山西省,Shanxi,临汾市,临汾,临汾,临汾市,,,,city-shanxi-10
22,山西省,Shanxi,吕梁市,吕梁,吕梁,吕梁市,,,,city-shanxi-11
23,内蒙古自治区,Inner Mongolia,呼和浩特市,呼和浩特,呼和浩特,呼和浩特市,,,,city-inner-mongolia
24,内蒙古自治区,Inner Mongolia,包头市,包头,包头,包头市,,,,city-inner-mongolia-2
25,内蒙古自治区,Inner Mongolia,乌海市,乌海,乌海,乌海市,,,,city-inner-mongolia-3
26,内蒙古自治区,Inner Mongolia,赤峰市,赤峰,赤峰,赤峰市,,,,city-inner-mongolia-4
27,内蒙古自治区,Inner Mongolia,通辽市,通辽,通辽,通辽市,,,,city-inner-mongolia-5
28,内蒙古自治区,Inner Mongolia,鄂尔多斯市,鄂尔多斯,鄂尔多斯,鄂尔多斯市,,,,city-inner-mongolia-6
29,内蒙古自治区,Inner Mongolia,呼伦贝尔市,呼伦贝尔,呼伦贝尔,呼伦贝尔市,,,,city-inner-mongolia-7
30,内蒙古自治区,Inner Mongolia,巴彦淖尔市,巴彦淖尔,巴彦淖尔,巴彦淖尔市,,,,city-inner-mongolia-8
31,内蒙古自治区,Inner Mongolia,乌兰察布市,乌兰察布,乌兰察布,乌兰察布市,,,,city-inner-mongolia-9
32,辽宁省,Liaoning,沈阳市,沈阳,沈阳,沈阳市,,,,city-liaoning
33,辽宁省,Liaoning,大连市,大连,大连,大连市,,,,city-liaoning-2
34,辽宁省,Liaoning,鞍山市,鞍山,鞍山,鞍山市,,,,city-liaoning-3
35,辽宁省,Liaoning,抚顺市,抚顺,抚顺,抚顺市,,,,city-liaoning-4
36,辽宁省,Liaoning,本溪市,本溪,本溪,本溪市,,,,city-liaoning-5
37,辽宁省,Liaoning,丹东市,丹东,丹东,丹东市,,,,city-liaoning-6
38,辽宁省,Liaoning,锦州市,锦州,锦州,锦州市,,,,city-liaoning-7
39,辽宁省,Liaoning,营口市,营口,营口,营口市,,,,city-liaoning-8
40,辽宁省,Liaoning,阜新市,阜新,阜新,阜新市,,,,city-liaoning-9
41,辽宁省,Liaoning,辽阳市,辽阳,辽阳,辽阳市,,,,city-liaoning-10
42,辽宁省,Liaoning,盘锦市,盘锦,盘锦,盘锦市,,,,city-liaoning-11
43,辽宁省,Liaoning,铁岭市,铁岭,铁岭,铁岭市,,,,city-liaoning-12
44,辽宁省,Liaoning,朝阳市,朝阳,朝阳,朝阳市,,,,city-liaoning-13
45,辽宁省,Liaoning,葫芦岛市,葫芦岛,葫芦岛,葫芦岛市,,,,city-liaoning-14
46,吉林省,Jilin,长春市,长春,长春,长春市,,,,city-jilin
47,吉林省,Jilin,吉林市,吉林,吉林,吉林市,,,,city-jilin-2
48,吉林省,Jilin,四平市,四平,四平,四平市,,,,city-jilin-3
49,吉林省,Jilin,辽源市,辽源,辽源,辽源市,,,,city-jilin-4
50,吉林省,Jilin,通化市,通化,通化,通化市,,,,city-jilin-5
51,吉林省,Jilin,白山市,白山,白山,白山市,,,,city-jilin-6
52,吉林省,Jilin,松原市,松原,松原,松原市,,,,city-jilin-7
53,吉林省,Jilin,白城市,白城,白城,白城市,,,,city-jilin-8
54,黑龙江省,Heilongjiang,哈尔滨市,哈尔滨,哈尔滨,哈尔滨市,,,,city-heilongjiang
55,黑龙江省,Heilongjiang,齐齐哈尔市,齐齐哈尔,齐齐哈尔,齐齐哈尔市,,,,city-heilongjiang-2
56,黑龙江省,Heilongjiang,鸡西市,鸡西,鸡西,鸡西市,,,,city-heilongjiang-3
57,黑龙江省,Heilongjiang,鹤岗市,鹤岗,鹤岗,鹤岗市,,,,city-heilongjiang-4
58,黑龙江省,Heilongjiang,双鸭山市,双鸭山,双鸭山,双鸭山市,,,,city-heilongjiang-5
59,黑龙江省,Heilongjiang,大庆市,大庆,大庆,大庆市,,,,city-heilongjiang-6
60,黑龙江省,Heilongjiang,伊春市,伊春,伊春,伊春市,,,,city-heilongjiang-7
61,黑龙江省,Heilongjiang,佳木斯市,佳木斯,佳木斯,佳木斯市,,,,city-heilongjiang-8
62,黑龙江省,Heilongjiang,七台河市,七台河,七台河,七台河市,,,,city-heilongjiang-9
63,黑龙江省,Heilongjiang,牡丹江市,牡丹江,牡丹江,牡丹江市,,,,city-heilongjiang-10
64,黑龙江省,Heilongjiang,黑河市,黑河,黑河,黑河市,,,,city-heilongjiang-11
65,黑龙江省,Heilongjiang,绥化市,绥化,绥化,绥化市,,,,city-heilongjiang-12
66,江苏省,Jiangsu,南京市,南京,南京,南京市,,,,city-jiangsu
67,江苏省,Jiangsu,无锡市,无锡,无锡,无锡市,,,,city-jiangsu-2
68,江苏省,Jiangsu,徐州市,徐州,徐州,徐州市,,,,city-jiangsu-3
69,江苏省,Jiangsu,常州市,常州,常州,常州市,,,,city-jiangsu-4
70,江苏省,Jiangsu,苏州市,苏州,苏州,苏州市,,,,city-jiangsu-5
71,江苏省,Jiangsu,南通市,南通,南通,南通市,,,,city-jiangsu-6
72,江苏省,Jiangsu,连云港市,连云港,连云港,连云港市,,,,city-jiangsu-7
73,江苏省,Jiangsu,淮安市,淮安,淮安,淮安市,,,,city-jiangsu-8
74,江苏省,Jiangsu,盐城市,盐城,盐城,盐城市,,,,city-jiangsu-9
75,江苏省,Jiangsu,扬州市,扬州,扬州,扬州市,,,,city-jiangsu-10
76,江苏省,Jiangsu,镇江市,镇江,镇江,镇江市,,,,city-jiangsu-11
77,江苏省,Jiangsu,泰州市,泰州,泰州,泰州市,,,,city-jiangsu-12
78,江苏省,Jiangsu,宿迁市,宿迁,宿迁,宿迁市,,,,city-jiangsu-13
79,浙江省,Zhejiang,杭州市,杭州,杭州,杭州市,,,,city-zhejiang
80,浙江省,Zhejiang,宁波市,宁波,宁波,宁波市,,,,city-zhejiang-2
81,浙江省,Zhejiang,温州市,温州,温州,温州市,,,,city-zhejiang-3
82,浙江省,Zhejiang,嘉兴市,嘉兴,嘉兴,嘉兴市,,,,city-zhejiang-4
83,浙江省,Zhejiang,湖州市,湖州,湖州,湖州市,,,,city-zhejiang-5
84,浙江省,Zhejiang,绍兴市,绍兴,绍兴,绍兴市,,,,city-zhejiang-6
85,浙江省,Zhejiang,金华市,金华,金华,金华市,,,,city-zhejiang-7
86,浙江省,Zhejiang,衢州市,衢州,衢州,衢州市,,,,city-zhejiang-8
87,浙江省,Zhejiang,舟山市,舟山,舟山,舟山市,,,,city-zhejiang-9
88,浙江省,Zhejiang,台州市,台州,台州,台州市,,,,city-zhejiang-10
89,浙江省,Zhejiang,丽水市,丽水,丽水,丽水市,,,,city-zhejiang-11
90,安徽省,Anhui,合肥市,合肥,合肥,合肥市,,,,city-anhui
91,安徽省,Anhui,芜湖市,芜湖,芜湖,芜湖市,,,,city-anhui-2
92,安徽省,Anhui,蚌埠市,蚌埠,蚌埠,蚌埠市,,,,city-anhui-3
93,安徽省,Anhui,淮南市,淮南,淮南,淮南市,,,,city-anhui-4
94,安徽省,Anhui,马鞍山市,马鞍山,马鞍山,马鞍山市,,,,city-anhui-5
95,安徽省,Anhui,淮北市,淮北,淮北,淮北市,,,,city-anhui-6
96,安徽省,Anhui,铜陵市,铜陵,铜陵,铜陵市,,,,city-anhui-7
97,安徽省,Anhui,安庆市,安庆,安庆,安庆市,,,,city-anhui-8
98,安徽省,Anhui,黄山市,黄山,黄山,黄山市,,,,city-anhui-9
99,安徽省,Anhui,滁州市,滁州,滁州,滁州市,,,,city-anhui-10
100,安徽省,Anhui,阜阳市,阜阳,阜阳,阜阳市,,,,city-anhui-11
101,安徽省,Anhui,宿州市,宿州,宿州,宿州市,,,,city-anhui-12
102,安徽省,Anhui,六安市,六安,六安,六安市,,,,city-anhui-13
103,安徽省,Anhui,亳州市,亳州,亳州,亳州市,,,,city-anhui-14
104,安徽省,Anhui,池州市,池州,池州,池州市,,,,city-anhui-15
105,安徽省,Anhui,宣城市,宣城,宣城,宣城市,,,,city-anhui-16
106,福建省,Fujian,福州市,福州,福州,福州市,,,,city-fujian
107,福建省,Fujian,厦门市,厦门,厦门,厦门市,,,,city-fujian-2
108,福建省,Fujian,莆田市,莆田,莆田,莆田市,,,,city-fujian-3
109,福建省,Fujian,三明市,三明,三明,三明市,,,,city-fujian-4
110,福建省,Fujian,泉州市,泉州,泉州,泉州市,,,,city-fujian-5
111,福建省,Fujian,漳州市,漳州,漳州,漳州市,,,,city-fujian-6
112,福建省,Fujian,南平市,南平,南平,南平市,,,,city-fujian-7
113,福建省,Fujian,龙岩市,龙岩,龙岩,龙岩市,,,,city-fujian-8
114,福建省,Fujian,宁德市,宁德,宁德,宁德市,,,,city-fujian-9
115,江西省,Jiangxi,南昌市,南昌,南昌,南昌市,,,,city-jiangxi
116,江西省,Jiangxi,景德镇市,景德镇,景德镇,景德镇市,,,,city-jiangxi-2
117,江西省,Jiangxi,萍乡市,萍乡,萍乡,萍乡市,,,,city-jiangxi-3
118,江西省,Jiangxi,九江市,九江,九江,九江市,,,,city-jiangxi-4
119,江西省,Jiangxi,新余市,新余,新余,新余市,,,,city-jiangxi-5
120,江西省,Jiangxi,鹰潭市,鹰潭,鹰潭,鹰潭市,,,,city-jiangxi-6
121,江西省,Jiangxi,赣州市,赣州,赣州,赣州市,,,,city-jiangxi-7
122,江西省,Jiangxi,吉安市,吉安,吉安,吉安市,,,,city-jiangxi-8
123,江西省,Jiangxi,宜春市,宜春,宜春,宜春市,,,,city-jiangxi-9
124,江西省,Jiangxi,抚州市,抚州,抚州,抚州市,,,,city-jiangxi-10
125,江西省,Jiangxi,上饶市,上饶,上饶,上饶市,,,,city-jiangxi-11
126,山东省,Shandong,济南市,济南,济南,济南市,,,,city-shandong
127,山东省,Shandong,青岛市,青岛,青岛,青岛市,,,,city-shandong-2
128,山东省,Shandong,淄博市,淄博,淄博,淄博市,,,,city-shandong-3
129,山东省,Shandong,枣庄市,枣庄,枣庄,枣庄市,,,,city-shandong-4
130,山东省,Shandong,东营市,东营,东营,东营市,,,,city-shandong-5
131,山东省,Shandong,烟台市,烟台,烟台,烟台市,,,,city-shandong-6
132,山东省,Shandong,潍坊市,潍坊,潍坊,潍坊市,,,,city-shandong-7
133,山东省,Shandong,济宁市,济宁,济宁,济宁市,,,,city-shandong-8
134,山东省,Shandong,泰安市,泰安,泰安,泰安市,,,,city-shandong-9
135,山东省,Shandong,威海市,威海,威海,威海市,,,,city-shandong-10
136,山东省,Shandong,日照市,日照,日照,日照市,,,,city-shandong-11
137,山东省,Shandong,临沂市,临沂,临沂,临沂市,,,,city-shandong-12
138,山东省,Shandong,德州市,德州,德州,德州市,,,,city-shandong-13
139,山东省,Shandong,聊城市,聊城,聊城,聊城市,,,,city-shandong-14
140,山东省,Shandong,滨州市,滨州,滨州,滨州市,,,,city-shandong-15
141,山东省,Shandong,菏泽市,菏泽,菏泽,菏泽市,,,,city-shandong-16
142,河南省,Henan,郑州市,郑州,郑州,郑州市,,,,city-henan
143,河南省,Henan,开封市,开封,开封,开封市,,,,city-henan-2
144,河南省,Henan,洛阳市,洛阳,洛阳,洛阳市,,,,city-henan-3
145,河南省,Henan,平顶山市,平顶山,平顶山,平顶山市,,,,city-henan-4
146,河南省,Henan,安阳市,安阳,安阳,安阳市,,,,city-henan-5
147,河南省,Henan,鹤壁市,鹤壁,鹤壁,鹤壁市,,,,city-henan-6
148,河南省,Henan,新乡市,新乡,新乡,新乡市,,,,city-henan-7
149,河南省,Henan,焦作市,焦作,焦作,焦作市,,,,city-henan-8
150,河南省,Henan,濮阳市,濮阳,濮阳,濮阳市,,,,city-henan-9
151,河南省,Henan,许昌市,许昌,许昌,许昌市,,,,city-henan-10
152,河南省,Henan,漯河市,漯河,漯河,漯河市,,,,city-henan-11
153,河南省,Henan,三门峡市,三门峡,Sanmenxia,三门峡市,Sanmenxia,34.773,111.2,sanmenxia
