city_zh,province_zh,wmo,station_name,source_file,airport,period_preference,station_lat,station_lon,elev_m,distance_km,rows,temp_c,rh_pct,cloud_pct,opaque_pct,visibility_km,precip_mm,missing_cloud_pct,missing_temp_pct
石家庄市,河北省,470312,Shijiazhuang Zhengding,CHN_HE_Shijiazhuang-Zhengding.Intl.AP.470312_TMYx.2011-2025.zip,1,60,38.281,114.697,71.0,30.834230692412557,8760,13.841015981735147,57.68904109589041,18.517123287671232,20.889269406392692,6667.280707762557,485.4000000000018,0.0,0.0
石家庄市,河北省,536980,Shijiazhuang,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,0,60,38.0733,114.3513,104.8,14.604113178168742,8760,14.882831050228342,56.74326484018265,35.926940639269404,43.341324200913235,6034.880593607306,530.4000000000036,0.0,0.0
白城市,吉林省,509360,Baicheng,CHN_JL_Baicheng.509360_CSWD.zip,0,10,45.63333,122.8333,155.3,1.5470830025554503,8760,4.893242009132407,75.02705479452055,66.23630136986301,66.23630136986301,999.0,0.0,0.0,0.0
白城市,吉林省,516330,Baicheng,CHN_JL_Baicheng.516330_TMYx.zip,0,20,41.767,81.867,1280.0,3285.526573534794,8760,9.398082191780839,49.22100456621005,25.881278538812786,27.720319634703195,6316.888321917683,86.59999999999995,0.0,0.0
哈尔滨市,黑龙江省,541611,Harbin Taiping,CHN_HL_Harbin-Taiping.AP.541611_TMYx.2011-2025.zip,1,60,45.623,126.25,139.3,29.381734248754416,8760,5.152534246575339,64.46369863013699,31.401826484018265,38.333333333333336,7201.5183789954335,566.5000000000028,0.0,0.0
哈尔滨市,黑龙江省,509530,Harbin,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,0,60,45.934,126.581,117.7,15.282070871407006,8760,5.374246575342452,63.08858447488584,39.304794520547944,47.93036529680365,7591.641187214612,548.4000000000029,0.0,0.0
南通市,江苏省,582590,Nantong Jinsha,CHN_JS_Nantong-Jinsha.582590_TMYx.zip,0,20,32.1,120.867,1.0,13.6018936333066,8760,15.548162100456564,78.89417808219179,64.22945205479452,71.81506849315069,7939.317066210046,1501.899999999989,0.0,0.0
南通市,江苏省,548525,Nantong,CHN_JS_Nantong.548525_TMYx.2011-2025.zip,0,60,32.02,120.85,6.0,6.147330475198811,8760,17.13283105022833,74.73824200913242,55.81963470319635,65.5593607305936,2197.6021004564727,1454.8999999999967,0.0,0.0
洛阳市,河南省,570730,Luoyang,CHN_HA_Luoyang.570730_TMYx.zip,0,20,34.667,112.417,155.0,6.288111135239734,8760,14.636826484018291,64.75171232876713,47.337899543378995,51.91095890410959,7308.86358447507,1116.000000000004,0.0,0.0
洛阳市,河南省,570780,Luoyang,CHN_HA_Luoyang.570780_TMYx.zip,0,20,34.15,112.467,400.0,52.21902432218969,8760,13.499748858447441,66.95513698630137,52.874429223744286,53.80022831050228,1172.4368036527674,880.200000000009,0.0,0.0
宜昌市,湖北省,574620,Yi Chang,CHN_HB_Yi.Chang.574620_TMYx.zip,0,20,30.683,111.45,107.0,15.614731885311455,8760,16.80952054794525,75.5175799086758,65.04680365296804,66.77511415525115,4158.256712328636,1316.0999999999897,0.0,0.0
宜昌市,湖北省,574610,Yichang,CHN_HB_Yichang.574610_TMYx.2011-2025.zip,0,60,30.7337,111.3596,257.7,7.525433203629681,8760,17.43331050228323,74.5587899543379,61.25570776255707,65.35844748858447,6419.346118721462,1320.599999999985,0.0,0.0
长沙市,湖南省,576790,Changsha Datuopu,CHN_HN_Changsha-Datuopu.576790_TMYx.zip,0,20,28.2,113.083,46.0,,8760,17.665171232876705,78.59018264840182,65.2431506849315,70.43835616438356,7611.720502283105,1723.6999999999837,0.0,0.0
长沙市,湖南省,592871,Changsha Huanghua,CHN_HN_Changsha-Huanghua.AP.592871_TMYx.2011-2025.zip,1,60,28.189,113.22,66.1,,8760,19.057979452054784,73.41849315068494,47.86301369863014,50.41324200913242,7178.130365296804,1787.2999999999845,0.0,0.0
长沙市,湖南省,576870,Changsha,CHN_HN_Changsha.576870_TMYx.2011-2025.zip,0,60,28.1095,112.788,120.0,,8760,18.521404109588985,76.3074200913242,63.32534246575342,68.64041095890411,6984.831963470319,1655.5999999999894,0.0,0.0
北海市,广西壮族自治区,596440,Beihai,CHN_GX_Beihai.596440_TMYx.2011-2025.zip,0,60,21.4566,109.1363,16.0,3.1772382957778547,8760,23.960627853881245,79.5513698630137,68.71803652968038,73.90981735159818,7627.7210045662105,1723.3999999999771,0.0,0.0
北海市,广西壮族自治区,596441,Beihai,CHN_GX_Beihai.AP.596441_TMYx.2011-2025.zip,1,60,21.539,109.294,16.0,19.068429979168044,8760,23.768025114155225,79.3486301369863,69.1312785388128,73.03082191780823,777.7000000001187,1887.5999999999794,0.0,0.0
海口市,海南省,470311,Haikou Meilan,CHN_HI_Haikou-Meilan.Intl.AP.470311_TMYx.2011-2025.zip,1,60,19.935,110.459,22.9,33.11558405426764,8760,24.69861872146121,84.62796803652968,64.6107305936073,67.29109589041096,7676.3881164383565,1673.8999999999821,0.0,0.0
海口市,海南省,597580,Haikou,CHN_HI_Haikou.597580_TMYx.2011-2025.zip,0,60,19.9938,110.2469,43.0,10.455405890600925,8760,24.85594748858458,81.31906392694064,72.8162100456621,77.07420091324201,7268.13200913242,1476.89999999997,0.0,0.0
三亚市,海南省,574941,Sanya Phoenix,CHN_HI_Sanya-Phoenix.Intl.AP.574941_TMYx.2011-2025.zip,1,60,18.303,109.412,28.0,11.864511928654197,8760,26.52123287671234,77.76004566210045,59.55707762557077,60.4041095890411,8906.10388127854,1533.5999999999835,0.0,0.0
三亚市,海南省,599480,Sanya,CHN_HI_Sanya.599480_TMYx.2011-2025.zip,0,60,18.2256,109.5914,7.0,8.999820608197986,8760,23.22165525114186,89.67054794520548,85.09931506849314,87.81392694063926,4974.592465753359,1558.4999999999889,0.0,0.0
成都市,四川省,562940,Chengdu Shuangliu,CHN_SC_Chengdu-Shuangliu.AP.562940_TMYx.2011-2025.zip,1,60,30.579,103.947,495.3,14.287096041306484,8760,18.32734018264843,73.21107305936073,43.88926940639269,44.09817351598173,6927.0535388127855,1222.1999999999846,0.0,0.0
成都市,四川省,561870,Chengdu Wenjiang,CHN_SC_Chengdu.Wenjiang.561870_TMYx.2011-2025.zip,0,60,30.7489,103.8611,555.0,21.894728534800464,8760,17.093002283105154,75.12557077625571,69.21803652968036,70.28196347031964,6136.149200913242,690.4000000000107,0.0,0.0
兰州市,甘肃省,525331,Lanzhou Zhongchuan,CHN_GS_Lanzhou-Zhongchuan.AP.525331_TMYx.2011-2025.zip,1,60,36.515,103.62,1947.1,53.94004057032962,8760,7.731061643835594,50.112671232876714,32.48858447488585,34.95776255707763,8573.922933789954,308.40000000000066,0.0,0.0
兰州市,甘肃省,528890,Lanzhou,CHN_GS_Lanzhou.528890_TMYx.2011-2025.zip,0,60,36.05,103.883,1518.0,4.745014200019452,8760,9.583401826484002,48.33972602739726,24.53196347031963,27.618721461187214,1581.0679452053937,374.9000000000021,0.0,0.0
兰州市,甘肃省,528880,Lan Zhou,CHN_GS_Lan.Zhou.528880_TMYx.zip,0,20,36.117,103.617,1600.0,20.29796714251293,8760,8.710228310502252,49.37454337899543,26.264840182648403,27.97945205479452,960.5347602740849,342.2000000000029,0.0,0.0
北京市,北京市,545110,Beijing Capital,CHN_BJ_Beijing-Capital.Intl.AP.545110_TMYx.2011-2025.zip,1,60,40.08,116.585,35.4,24.719143918647564,8760,13.08213470319635,54.11038812785388,23.82990867579909,29.103881278538815,7953.684474885845,659.0000000000033,0.0,0.0
北京市,北京市,545120,Beijing Nanyuan,CHN_BJ_Beijing-Nanyuan.AP.545120_TMYx.zip,1,20,39.783,116.383,40.0,13.63687384336084,8760,13.105022831050224,47.71632420091324,26.440639269406393,27.728310502283104,1071.8085844749887,434.60000000000116,0.0,0.0
天津市,天津市,545273,Tianjin Binhai,CHN_TJ_Tianjin-Binhai.Intl.AP.545273_TMYx.2011-2025.zip,1,60,39.124,117.346,3.0,13.279438445403871,8760,14.055901826484009,57.834931506849315,19.110730593607308,22.029680365296805,6984.03493150685,630.1000000000032,0.0,0.0
天津市,天津市,545270,Tianjin,CHN_TJ_Tianjin.545270_TMYx.2011-2025.zip,0,60,39.0812,117.0525,5.0,12.813278973373185,8760,14.060764840182632,55.862671232876714,32.0,40.09018264840183,6816.998401826484,600.9000000000034,0.0,0.0
