catalog_id,division_code,province_zh,city_zh,lat,lon,coordinate_source,geocoder_display_name
prefecture-shijiazhuang,130100,河北省,石家庄市,38.044,114.5139,catalog,
prefecture-tangshan,130200,河北省,唐山市,39.631,118.179,catalog,
prefecture-qinhuangdao,130300,河北省,秦皇岛市,39.936,119.6,catalog,
prefecture-handan,130400,河北省,邯郸市,36.6258,114.5388,catalog,
prefecture-xingtai,130500,河北省,邢台市,37.07,114.505,catalog,
prefecture-baoding,130600,河北省,保定市,38.8745,115.4645,catalog,
prefecture-zhangjiakou,130700,河北省,张家口市,40.7675,114.8858,catalog,
prefecture-chengde,130800,河北省,承德市,40.953,117.963,catalog,
prefecture-cangzhou,130900,河北省,沧州市,38.3045,116.8386,catalog,
prefecture-langfang,131000,河北省,廊坊市,39.538,116.684,catalog,
prefecture-hengshui,131100,河北省,衡水市,37.739,115.67,catalog,
prefecture-taiyuan,140100,山西省,太原市,37.86666667,112.55,catalog,
prefecture-datong,140200,山西省,大同市,40.0763,113.2999,catalog,
prefecture-yangquan,140300,山西省,阳泉市,37.8573,113.5804,catalog,
prefecture-changzhi,140400,山西省,长治市,36.1953,113.1163,catalog,
prefecture-jincheng,140500,山西省,晋城市,35.4895,112.8516,catalog,
prefecture-shuozhou,140600,山西省,朔州市,39.3308,112.432,catalog,
prefecture-jinzhong,140700,山西省,晋中市,37.6874,112.7516,catalog,
prefecture-yuncheng,140800,山西省,运城市,35.0264,111.0076,catalog,
prefecture-xinzhou,140900,山西省,忻州市,38.4163,112.7341,catalog,
prefecture-linfen,141000,山西省,临汾市,36.088,111.519,catalog,
prefecture-luliang,141100,山西省,吕梁市,37.5184,111.144,catalog,
prefecture-hohhot,150100,内蒙古自治区,呼和浩特市,40.8421,111.7503,catalog,
prefecture-baotou,150200,内蒙古自治区,包头市,40.658,109.8402,catalog,
prefecture-wuhai,150300,内蒙古自治区,乌海市,39.655,106.7942,catalog,
prefecture-chifeng,150400,内蒙古自治区,赤峰市,42.2579,118.887,catalog,
prefecture-tongliao,150500,内蒙古自治区,通辽市,43.6527,122.2436,catalog,
prefecture-ordos-city,150600,内蒙古自治区,鄂尔多斯市,39.6082,109.7814,catalog,
prefecture-hulunbuir,150700,内蒙古自治区,呼伦贝尔市,49.2118,119.7657,catalog,
prefecture-bayannur,150800,内蒙古自治区,巴彦淖尔市,40.7433,107.3876,catalog,
prefecture-ulanqab,150900,内蒙古自治区,乌兰察布市,40.995,113.132,catalog,
prefecture-hinggan-league,152200,内蒙古自治区,兴安盟,46.0824,122.0375,catalog,
prefecture-xilingol-league,152500,内蒙古自治区,锡林郭勒盟,43.9335,116.0477,catalog,
prefecture-alxa-league,152900,内蒙古自治区,阿拉善盟,38.852,105.728,catalog,
prefecture-shenyang,210100,辽宁省,沈阳市,41.79555556,123.44805556,catalog,
