index,province_zh,province_en,city_zh,city_short_zh,admin_type_zh,division_code,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
1,河北省,Hebei,石家庄市,石家庄,地级市,130100,Shijiazhuang,石家庄市,Shijiazhuang,38.044,114.5139,shijiazhuang,prefecture-shijiazhuang,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,石家庄,38.0733,114.3513,direct
2,河北省,Hebei,唐山市,唐山,地级市,130200,Tangshan,唐山市,Tangshan,39.631,118.179,tangshan,prefecture-tangshan,545340,CHN_HE_Tangshan.545340_TMYx.2011-2025.zip,Tangshan,39.5816,118.0931,direct
3,河北省,Hebei,秦皇岛市,秦皇岛,地级市,130300,Qinhuangdao,秦皇岛市,Qinhuangdao,39.936,119.6,qinhuangdao,prefecture-qinhuangdao,545340,CHN_HE_Tangshan.545340_TMYx.2011-2025.zip,Tangshan,39.5816,118.0931,city_alias_fallback
4,河北省,Hebei,邯郸市,邯郸,地级市,130400,Handan,邯郸市,Handan,36.6258,114.5388,handan,prefecture-handan,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,石家庄,38.0733,114.3513,province_capital_fallback
5,河北省,Hebei,邢台市,邢台,地级市,130500,Xingtai,邢台市,Xingtai,37.07,114.505,xingtai,prefecture-xingtai,537980,CHN_HE_Xingtai.537980_TMYx.2011-2025.zip,Xingtai,37.1808,114.3589,direct
6,河北省,Hebei,保定市,保定,地级市,130600,Baoding,保定市,Baoding,38.8745,115.4645,baoding,prefecture-baoding,546020,CHN_HE_Baoding.546020_TMYx.2011-2025.zip,Baoding,38.7373,115.4776,direct
7,河北省,Hebei,张家口市,张家口,地级市,130700,Zhangjiakou,张家口市,Zhangjiakou,40.7675,114.8858,zhangjiakou,prefecture-zhangjiakou,544010,CHN_HE_Zhangjiakou.544010_TMYx.2011-2025.zip,Zhangjiakou,40.7694,114.9194,direct
8,河北省,Hebei,承德市,承德,地级市,130800,Chengde,承德市,Chengde,40.953,117.963,chengde,prefecture-chengde,544230,CHN_HE_Chengde.544230_TMYx.2011-2025.zip,Chengde,40.9726,117.9247,direct
9,河北省,Hebei,沧州市,沧州,地级市,130900,Cangzhou,沧州市,Cangzhou,38.3045,116.8386,cangzhou,prefecture-cangzhou,546160,CHN_HE_Cangzhou.546160_TMYx.zip,Cangzhou,38.333,116.833,direct
10,河北省,Hebei,廊坊市,廊坊,地级市,131000,Langfang,廊坊市,Langfang,39.538,116.684,langfang,prefecture-langfang,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,石家庄,38.0733,114.3513,province_capital_fallback
11,河北省,Hebei,衡水市,衡水,地级市,131100,Hengshui,衡水市,Hengshui,37.739,115.67,hengshui,prefecture-hengshui,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,石家庄,38.0733,114.3513,city_alias_fallback
12,山西省,Shanxi,太原市,太原,地级市,140100,Taiyuan,太原市,Taiyuan,37.86666667,112.55,taiyuan,prefecture-taiyuan,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,太原,37.6206,112.5764,direct
13,山西省,Shanxi,大同市,大同,地级市,140200,Datong,大同市,Datong,40.0763,113.2999,datong,prefecture-datong,534870,CHN_SX_Datong.534870_TMYx.2011-2025.zip,Datong,40.0787,113.4116,direct
14,山西省,Shanxi,阳泉市,阳泉,地级市,140300,Yangquan,阳泉市,Yangquan,37.8573,113.5804,yangquan,prefecture-yangquan,537820,CHN_SX_Yangquan.537820_TMYx.zip,Yangquan,37.817,113.567,direct
15,山西省,Shanxi,长治市,长治,地级市,140400,Changzhi,长治市,Changzhi,36.1953,113.1163,changzhi,prefecture-changzhi,538870,CHN_SX_Changzhi.538870_TMYx.zip,Changzhi,36.2,113.117,direct
16,山西省,Shanxi,晋城市,晋城,地级市,140500,Jincheng,晋城市,Jincheng,35.4895,112.8516,jincheng,prefecture-jincheng,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,太原,37.6206,112.5764,city_alias_fallback
17,山西省,Shanxi,朔州市,朔州,地级市,140600,Shuozhou,朔州市,Shuozhou,39.3308,112.432,shuozhou,prefecture-shuozhou,534870,CHN_SX_Datong.534870_TMYx.2011-2025.zip,Datong,40.0787,113.4116,city_alias_fallback
18,山西省,Shanxi,晋中市,晋中,地级市,140700,Jinzhong,晋中市,Jinzhong,37.6874,112.7516,jinzhong,prefecture-jinzhong,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,太原,37.6206,112.5764,city_alias_fallback
19,山西省,Shanxi,运城市,运城,地级市,140800,Yuncheng,运城市,Yuncheng,35.0264,111.0076,yuncheng,prefecture-yuncheng,539590,CHN_SX_Yuncheng.539590_TMYx.2011-2025.zip,Yuncheng,35.1114,111.0664,direct
20,山西省,Shanxi,忻州市,忻州,地级市,140900,Xinzhou,忻州市,Xinzhou,38.4163,112.7341,xinzhou,prefecture-xinzhou,536640,CHN_SX_Xinzhou.536640_TMYx.zip,Xinzhou,38.4,112.717,direct
21,山西省,Shanxi,临汾市,临汾,地级市,141000,Linfen,临汾市,Linfen,36.088,111.519,linfen,prefecture-linfen,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,太原,37.6206,112.5764,city_alias_fallback
22,山西省,Shanxi,吕梁市,吕梁,地级市,141100,Lüliang,吕梁市,Lüliang,37.5184,111.144,luliang,prefecture-luliang,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,太原,37.6206,112.5764,city_alias_fallback
23,内蒙古自治区,Inner Mongolia,呼和浩特市,呼和浩特,地级市,150100,Hohhot,呼和浩特市,Hohhot,40.8421,111.7503,hohhot,prefecture-hohhot,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,direct
24,内蒙古自治区,Inner Mongolia,包头市,包头,地级市,150200,Baotou,包头市,Baotou,40.658,109.8402,baotou,prefecture-baotou,534460,CHN_NM_Baotou.534460_TMYx.zip,Baotou,40.567,109.983,direct
25,内蒙古自治区,Inner Mongolia,乌海市,乌海,地级市,150300,Wuhai,乌海市,Wuhai,39.655,106.7942,wuhai,prefecture-wuhai,534630,CHN_NM_Hohhot-Baita.Intl.AP.534630_TMYx.2011-2025.zip,Hohhot,40.8559,111.5714,city_alias_fallback
