index,province_zh,province_en,city_zh,city_short_zh,city_en,wiki_title_zh,wiki_title_en,lat,lon,slug,catalog_id,source_station_wmo,source_station_file,source_station_name,source_station_lat,source_station_lon,station_match_quality
1,河北省,Hebei,石家庄市,石家庄,Shijiazhuang,石家庄市,Shijiazhuang,38.044,114.5139,shijiazhuang,prefecture-shijiazhuang,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,direct
2,河北省,Hebei,唐山市,唐山,Tangshan,唐山市,Tangshan,39.631,118.179,tangshan,prefecture-tangshan,545340,CHN_HE_Tangshan.545340_TMYx.2011-2025.zip,Tangshan,39.5816,118.0931,direct
3,河北省,Hebei,秦皇岛市,秦皇岛,Qinhuangdao,秦皇岛市,Qinhuangdao,39.936,119.6,qinhuangdao,prefecture-qinhuangdao,545270,CHN_TJ_Tianjin.545270_TMYx.2011-2025.zip,Tianjin,39.0812,117.0525,city_alias_fallback
4,河北省,Hebei,邯郸市,邯郸,Handan,邯郸市,Handan,36.6258,114.5388,handan,prefecture-handan,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,province_capital_fallback
5,河北省,Hebei,邢台市,邢台,Xingtai,邢台市,Xingtai,37.07,114.505,xingtai,prefecture-xingtai,537980,CHN_HE_Xingtai.537980_TMYx.2011-2025.zip,Xingtai,37.1808,114.3589,direct
6,河北省,Hebei,保定市,保定,Baoding,保定市,Baoding,38.8745,115.4645,baoding,prefecture-baoding,546020,CHN_HE_Baoding.546020_TMYx.2011-2025.zip,Baoding,38.7373,115.4776,direct
7,河北省,Hebei,张家口市,张家口,Zhangjiakou,张家口市,Zhangjiakou,40.7675,114.8858,zhangjiakou,prefecture-zhangjiakou,544010,CHN_HE_Zhangjiakou.544010_TMYx.2011-2025.zip,Zhangjiakou,40.7694,114.9194,direct
8,河北省,Hebei,承德市,承德,Chengde,承德市,Chengde,40.953,117.963,chengde,prefecture-chengde,544230,CHN_HE_Chengde.544230_TMYx.2011-2025.zip,Chengde,40.9726,117.9247,direct
9,河北省,Hebei,沧州市,沧州,Cangzhou,沧州市,Cangzhou,38.3045,116.8386,cangzhou,prefecture-cangzhou,546160,CHN_HE_Cangzhou.546160_TMYx.zip,Cangzhou,38.333,116.833,direct
10,河北省,Hebei,廊坊市,廊坊,Langfang,廊坊市,Langfang,39.538,116.684,langfang,prefecture-langfang,545110,CHN_BJ_Beijing.545110_CSWD.zip,Beijing-Capital.Intl.AP,40.08,116.585,city_alias_fallback
11,河北省,Hebei,衡水市,衡水,衡水,衡水市,,,,city-hebei,prefecture-city-hebei,536980,CHN_HE_Shijiazhuang.536980_TMYx.2011-2025.zip,Shijiazhuang,38.0733,114.3513,city_alias_fallback
12,山西省,Shanxi,太原市,太原,太原,太原市,,,,city-shanxi,prefecture-city-shanxi,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,province_capital_fallback
13,山西省,Shanxi,大同市,大同,大同,大同市,,,,city-shanxi-2,prefecture-city-shanxi-2,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,province_capital_fallback
14,山西省,Shanxi,阳泉市,阳泉,阳泉,阳泉市,,,,city-shanxi-3,prefecture-city-shanxi-3,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
15,山西省,Shanxi,长治市,长治,长治,长治市,,,,city-shanxi-4,prefecture-city-shanxi-4,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
16,山西省,Shanxi,晋城市,晋城,晋城,晋城市,,,,city-shanxi-5,prefecture-city-shanxi-5,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
17,山西省,Shanxi,朔州市,朔州,朔州,朔州市,,,,city-shanxi-6,prefecture-city-shanxi-6,534870,CHN_SX_Datong.534870_TMYx.2011-2025.zip,Datong,40.0787,113.4116,city_alias_fallback
18,山西省,Shanxi,晋中市,晋中,晋中,晋中市,,,,city-shanxi-7,prefecture-city-shanxi-7,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
19,山西省,Shanxi,运城市,运城,运城,运城市,,,,city-shanxi-8,prefecture-city-shanxi-8,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
20,山西省,Shanxi,忻州市,忻州,忻州,忻州市,,,,city-shanxi-9,prefecture-city-shanxi-9,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
21,山西省,Shanxi,临汾市,临汾,临汾,临汾市,,,,city-shanxi-10,prefecture-city-shanxi-10,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
22,山西省,Shanxi,吕梁市,吕梁,吕梁,吕梁市,,,,city-shanxi-11,prefecture-city-shanxi-11,537720,CHN_SX_Taiyuan.537720_TMYx.2011-2025.zip,Taiyuan,37.6206,112.5764,city_alias_fallback
23,内蒙古自治区,Inner Mongolia,呼和浩特市,呼和浩特,呼和浩特,呼和浩特市,,,,city-inner-mongolia,prefecture-city-inner-mongolia,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,province_capital_fallback
24,内蒙古自治区,Inner Mongolia,包头市,包头,包头,包头市,,,,city-inner-mongolia-2,prefecture-city-inner-mongolia-2,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,province_capital_fallback
25,内蒙古自治区,Inner Mongolia,乌海市,乌海,乌海,乌海市,,,,city-inner-mongolia-3,prefecture-city-inner-mongolia-3,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
26,内蒙古自治区,Inner Mongolia,赤峰市,赤峰,赤峰,赤峰市,,,,city-inner-mongolia-4,prefecture-city-inner-mongolia-4,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
27,内蒙古自治区,Inner Mongolia,通辽市,通辽,通辽,通辽市,,,,city-inner-mongolia-5,prefecture-city-inner-mongolia-5,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
28,内蒙古自治区,Inner Mongolia,鄂尔多斯市,鄂尔多斯,鄂尔多斯,鄂尔多斯市,,,,city-inner-mongolia-6,prefecture-city-inner-mongolia-6,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
29,内蒙古自治区,Inner Mongolia,呼伦贝尔市,呼伦贝尔,呼伦贝尔,呼伦贝尔市,,,,city-inner-mongolia-7,prefecture-city-inner-mongolia-7,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
30,内蒙古自治区,Inner Mongolia,巴彦淖尔市,巴彦淖尔,巴彦淖尔,巴彦淖尔市,,,,city-inner-mongolia-8,prefecture-city-inner-mongolia-8,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
31,内蒙古自治区,Inner Mongolia,乌兰察布市,乌兰察布,乌兰察布,乌兰察布市,,,,city-inner-mongolia-9,prefecture-city-inner-mongolia-9,534630,CHN_NM_Hohhot.534630_CSWD.zip,Hohhot,40.81667,111.6833,city_alias_fallback
32,辽宁省,Liaoning,沈阳市,沈阳,沈阳,沈阳市,,,,city-liaoning,prefecture-city-liaoning,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,province_capital_fallback
33,辽宁省,Liaoning,大连市,大连,大连,大连市,,,,city-liaoning-2,prefecture-city-liaoning-2,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,province_capital_fallback
34,辽宁省,Liaoning,鞍山市,鞍山,鞍山,鞍山市,,,,city-liaoning-3,prefecture-city-liaoning-3,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,province_capital_fallback
35,辽宁省,Liaoning,抚顺市,抚顺,抚顺,抚顺市,,,,city-liaoning-4,prefecture-city-liaoning-4,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
36,辽宁省,Liaoning,本溪市,本溪,本溪,本溪市,,,,city-liaoning-5,prefecture-city-liaoning-5,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
37,辽宁省,Liaoning,丹东市,丹东,丹东,丹东市,,,,city-liaoning-6,prefecture-city-liaoning-6,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
38,辽宁省,Liaoning,锦州市,锦州,锦州,锦州市,,,,city-liaoning-7,prefecture-city-liaoning-7,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
39,辽宁省,Liaoning,营口市,营口,营口,营口市,,,,city-liaoning-8,prefecture-city-liaoning-8,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
40,辽宁省,Liaoning,阜新市,阜新,阜新,阜新市,,,,city-liaoning-9,prefecture-city-liaoning-9,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
41,辽宁省,Liaoning,辽阳市,辽阳,辽阳,辽阳市,,,,city-liaoning-10,prefecture-city-liaoning-10,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
42,辽宁省,Liaoning,盘锦市,盘锦,盘锦,盘锦市,,,,city-liaoning-11,prefecture-city-liaoning-11,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
43,辽宁省,Liaoning,铁岭市,铁岭,铁岭,铁岭市,,,,city-liaoning-12,prefecture-city-liaoning-12,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
44,辽宁省,Liaoning,朝阳市,朝阳,朝阳,朝阳市,,,,city-liaoning-13,prefecture-city-liaoning-13,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
45,辽宁省,Liaoning,葫芦岛市,葫芦岛,葫芦岛,葫芦岛市,,,,city-liaoning-14,prefecture-city-liaoning-14,543420,CHN_LN_Shenyang.543420_TMYx.2011-2025.zip,Shenyang,41.7325,123.5099,city_alias_fallback
46,吉林省,Jilin,长春市,长春,长春,长春市,,,,city-jilin,prefecture-city-jilin,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,province_capital_fallback
47,吉林省,Jilin,吉林市,吉林,吉林,吉林市,,,,city-jilin-2,prefecture-city-jilin-2,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,province_capital_fallback
48,吉林省,Jilin,四平市,四平,四平,四平市,,,,city-jilin-3,prefecture-city-jilin-3,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,city_alias_fallback
49,吉林省,Jilin,辽源市,辽源,辽源,辽源市,,,,city-jilin-4,prefecture-city-jilin-4,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,city_alias_fallback
50,吉林省,Jilin,通化市,通化,通化,通化市,,,,city-jilin-5,prefecture-city-jilin-5,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,city_alias_fallback
51,吉林省,Jilin,白山市,白山,白山,白山市,,,,city-jilin-6,prefecture-city-jilin-6,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,city_alias_fallback
52,吉林省,Jilin,松原市,松原,松原,松原市,,,,city-jilin-7,prefecture-city-jilin-7,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,city_alias_fallback
53,吉林省,Jilin,白城市,白城,白城,白城市,,,,city-jilin-8,prefecture-city-jilin-8,541610,CHN_JL_Changchun.541610_TMYx.2011-2025.zip,Changchun,43.901,125.209,city_alias_fallback
54,黑龙江省,Heilongjiang,哈尔滨市,哈尔滨,哈尔滨,哈尔滨市,,,,city-heilongjiang,prefecture-city-heilongjiang,509530,CHN_HL_Harbin.509530_TMYx.2011-2025.zip,Harbin,45.934,126.581,province_capital_fallback
